_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
284,Donway Place,8 The Donway E,Retirement Home,Enteric,Unable to identify,,2025-02-21,2025-03-08,N
285,Harold and Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Coronavirus*,,2025-02-20,2025-03-03,N
286,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,Coronavirus*,,2025-02-20,2025-03-17,N
287,Weston Terrace - 3B Unit,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (H3),,2025-02-20,2025-03-03,N
288,TEHN - Atrium at Kew Beach - 2nd Fl East Wing,500 Kingston Rd,Hospital-Chronic Care,Enteric,Norovirus,,2025-02-20,2025-02-28,N
289,Harmony Hill Care Community - 3A & 3B,1800 O'Connor Dr,LTCH,Enteric,Norovirus,,2025-02-19,2025-03-17,N
290,The Wexford - 2nd Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2025-02-19,2025-03-07,N
291,Unity Health Toronto - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2025-02-19,2025-03-03,N
292,UHN - Toronto Western Hospital - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),Influenza A (H3),2025-02-18,2025-02-27,N
293,North York General Hospital - Seniors' Health Centre - 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Influenza A (H1),Coronavirus*,2025-02-18,2025-03-21,N
294,Westside - 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus*,,2025-02-18,2025-03-03,N
295,Humber River Hospital - Wilson Site - 12 East,1235 Wilson Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-02-18,2025-02-25,N
296,Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Unable to identify,,2025-02-18,2025-03-14,N
297,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus*,,2025-02-18,2025-03-02,N
298,Hellenic Home for the Aged - 3A,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,,2025-02-18,2025-02-27,N
299,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2025-02-18,2025-02-24,N
300,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-02-18,2025-02-24,N
301,"Weston Gardens Retirement Residents - 2nd, 3rd & 5th Fl",303 Queens Dr,Retirement Home,Respiratory,COVID-19,,2025-02-18,2025-03-03,N
302,Seven Oaks - 4th Fl,9 Neilson Rd,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-18,2025-02-25,N
303,Better Living At Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Coronavirus*,,2025-02-17,2025-03-03,N
304,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-02-17,2025-02-26,N
305,Norfinch Care Community - 3B,22 Norfinch Dr,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-16,2025-02-25,N
306,St. George Care Community,225 St. George St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-02-14,2025-03-01,N
307,McCowan Retirement Residence,2881 Eglinton Ave E,LTCH,Enteric,Norovirus,,2025-02-14,2025-02-27,N
308,Kensington Gardens (North) - 1 East,45 Brunswick Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-02-14,2025-03-07,N
309,Yee Hong Centre - Scarborough Finch - 4th Fl,60 Scottfield Dr,LTCH,Respiratory,Coronavirus*,,2025-02-14,2025-03-03,N
310,Deerwood Creek Care Community - 3A & 3B,70 Humberline Dr,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-14,2025-03-06,N
311,TEHN - Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-02-14,2025-02-25,N
312,Sinai Health - Hennick Bridgepoint Hospital - 6S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2025-02-13,2025-02-23,N
313,Craiglee Nursing Home - 2 East & West,102 Craiglee Dr,LTCH,Enteric,Unable to identify,,2025-02-13,2025-02-21,N
314,Delmanor West Village,15 Summerland Terr,Retirement Home,Enteric,Norovirus,,2025-02-13,2025-02-26,N
315,Sisters of St. Joseph - 3rd & 4th Fl,2 O'Connor Dr,Hospital-Chronic Care,Respiratory,Coronavirus*,,2025-02-13,2025-02-28,N
316,Humber Meadows - 5th Fl North,2109 Finch Ave W,LTCH,Respiratory,COVID-19,,2025-02-13,2025-03-05,N
317,Chartwell Scarlett Heights - 2nd Fl,4005 Eglinton Ave W,Retirement Home,Respiratory,Coronavirus*,,2025-02-13,2025-02-25,N
318,Cheltenham Care Community - 2nd & 3rd Fl,5935 Bathurst St,LTCH,Enteric,Norovirus,,2025-02-13,2025-03-17,N
319,Venvi Guildwood Retirement Residence - 1st Fl,65 Livingston Road,Retirement Home,Respiratory,Influenza A (H1N1),,2025-02-13,2025-02-18,N
320,Kensington Place Retirement Residence - 3rd Fl,866 Sheppard Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-02-13,2025-02-21,N
321,Sage Care - 2nd & 3rd Fl,147 Elder St,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-02-12,2025-02-19,N
322,Weston Terrace Care Community - 2A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2025-02-12,2025-02-28,N
323,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-12,2025-02-21,N
324,Hazelton Place Retirement Residence - 2nd Fl,111 Avenue Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-02-11,2025-02-16,N
325,"Fountain View Care Community - 2B, 3A & 3B",1800 O'Connor Dr,LTCH,Enteric,Unable to identify,,2025-02-11,2025-03-03,N
326,North York General Hospital - Seniors' Health Centre - 1st Fl,2 Buchan Crt,LTCH,Enteric,Norovirus,,2025-02-11,2025-02-24,N
327,True Davidson Acres - 3rd Fl,200 Dawes Rd,LTCH,Enteric,Unable to identify,,2025-02-11,2025-02-22,N
328,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A (H1N1),,2025-02-11,2025-03-07,N
329,Deerwood Creek Care Community - 1st Fl,70 Humberline Dr,LTCH,Enteric,Unable to identify,,2025-02-11,2025-02-19,N
330,Seven Oaks - 3rd & 4th Fl,9 Neilson Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-02-11,2025-03-07,N
331,Sinai Health - Hennick Bridgepoint Hospital - 8N,1 Bridgepoint Dr,Hospital-Chronic Care,Enteric,Norovirus,,2025-02-10,2025-02-15,N
332,Centre for Addiction and Mental Health - Unit 1-4,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2025-02-10,2025-02-16,N
333,New Horizons Tower - 3rd Fl,1140 Bloor St W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-02-10,2025-02-18,N
334,"Humber Meadows Long Term Care Home - 3N, 4N, 5N, 5S & 6N",2109 Finch Ave W,LTCH,Respiratory,Coronavirus*,,2025-02-10,2025-03-05,N
335,Baycrest Apotex Centre - Jewish Home for the Aged - 7EI,3560 Bathurst St,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-10,2025-02-17,N
336,"Shepherd Lodge - 2 North, 2 South, 3 North, 3 South, 5 North & 6 South",3760 Sheppard Ave E,LTCH,Enteric,Unable to identify,,2025-02-10,2025-03-03,N
337,Forestview Retirement Residence,537 Finch Ave W,Retirement Home,Enteric,Norovirus,,2025-02-10,2025-03-02,N
338,Extendicare Bayview - South 2,550 Cummer Ave,LTCH,Respiratory,Influenza A (H1),,2025-02-10,2025-02-24,N
339,Bethseda Home,76 Silversted Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-02-10,2025-02-20,N
340,Amica on the Avenue,1066 Avenue Rd,Retirement Home,Enteric,Norovirus,,2025-02-09,2025-03-10,N
341,Castleview Wychwood Towers - 2W,351 Christie St,LTCH,Respiratory,COVID-19,,2025-02-09,2025-03-20,N
342,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,COVID-19,,2025-02-09,2025-02-26,N
343,North York General Hospital - Seniors' Health Centre - 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-08,2025-02-16,N
344,"Age Care Trilogy - 1st, 4th, 5th, 6th & 7th Fl",340 McCowan Rd,LTCH,Respiratory,COVID-19,,2025-02-08,2025-03-17,N
345,North York General Hospital - General Site - 7 North,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,,2025-02-08,2025-02-23,N
346,Kennedy Lodge - Ground Fl,1400 Kennedy Rd,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-07,2025-02-19,N
347,Norfinch Care Community - 3A,22 Norfinch Dr,LTCH,Respiratory,COVID-19,,2025-02-07,2025-02-19,N
348,Village of Humber Heights - 2nd Fl Williamsburg East,2245 Lawrence Ave W,Retirement Home,Enteric,Unable to identify,,2025-02-07,2025-02-15,N
349,Village of Humber Heights - 3rd Fl,2245 Lawrence Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-02-07,2025-02-15,N
350,Village of Humber Heights - Williamsburg East,2245 Lawrence Ave W,Retirement Home,Respiratory,COVID-19,,2025-02-07,2025-02-16,N
351,Village of Humber Heights - Williamsburg East,2245 Lawrence Ave W,Retirement Home,Respiratory,Unable to identify,,2025-02-07,2025-02-15,N
352,Valleyview Residence - 3E & 4W,541 Finch Ave W,LTCH,Respiratory,Metapneumovirus,,2025-02-07,2025-03-03,N
353,The Heritage Nursing Home - 3rd Fl,1195 Queen St E,LTCH,Enteric,Norovirus,,2025-02-06,2025-02-20,N
354,Presentation Manor,61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus*,,2025-02-06,2025-02-20,N
355,Leaside Retirement Residence,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A (H3),Influenza A (H1N1),2025-02-05,2025-02-18,N
356,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,COVID-19,,2025-02-05,2025-03-01,N
357,Hellenic Care for Seniors - 1st Fl,215 Tyrrel Avenue,LTCH,Respiratory,Influenza A (H3),,2025-02-05,2025-02-19,N
358,Hellenic Care for Seniors - 1st Fl,215 Tyrrel Avenue,LTCH,Respiratory,Rhinovirus,,2025-02-05,2025-02-19,N
359,Belmont House - 5th Fl,55 Belmont St,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-05,2025-02-26,N
360,Cheltenham Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,,2025-02-05,2025-02-19,N
361,Nisbet Lodge,740 Pape Ave,LTCH,Enteric,Norovirus,,2025-02-05,2025-02-24,N
362,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Enteric,Norovirus,,2025-02-04,2025-02-17,N
363,Centre for Addiction and Mental Health - Unit 3-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,,2025-02-04,2025-02-12,N
364,"Don Mills Retirement Residence - 3rd, 4th, 5th, 8th & 10th Fl",2 Green Belt Dr,Retirement Home,Enteric,Norovirus,,2025-02-04,2025-02-18,N
365,Weston Terrace Care Community - 1A & 4A Units,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (Not subtyped),,2025-02-04,2025-02-18,N
366,"Kipling Acres - 1 South East (Humber), 3 South East (Thistletown) & 3 South West (Alder)",2233 Kipling Ave,LTCH,Enteric,Unable to identify,,2025-02-04,2025-02-26,N
367,"Villa Colombo Homes for the Aged - 4th Fl Fusco South, West & North",40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-02-04,2025-02-24,N
368,Cedarbrook Lodge Retirement Residence,520 Markham Rd,Retirement Home,Enteric,Unable to identify,,2025-02-04,2025-02-27,N
369,Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-02-04,2025-02-12,N
370,Mon Sheong Foundation - SPH,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-02-03,2025-02-11,N
371,Norfinch Care Community - Garden Place (Wing 3A),22 Norfinch Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-02-03,2025-02-11,N
372,Hellenic Home for the Aged - 3B,2411 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2025-02-03,2025-02-11,N
373,Unity Health Toronto - Providence Healthcare - B4,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-02-03,2025-02-10,N
374,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Enteric,Norovirus,,2025-02-03,2025-02-11,N
375,Ina Grafton Gage Home,40 Bell Estate Road,LTCH,Respiratory,COVID-19,,2025-02-03,2025-02-18,N
376,"Kingsway Retirement Residence - 2nd, 3rd & 4th Fl",4251 Dundas St W,Retirement Home,Respiratory,Influenza A (H1N1),,2025-02-03,2025-02-16,N
377,TEHN - Atrium At Kew Beach - 3rd Fl East Wing,500 Kingston Rd,Hospital-Chronic Care,Enteric,Norovirus,,2025-02-03,2025-02-07,N
378,Delmanor Northtown,5351 Yonge St,Retirement Home,Enteric,Norovirus,,2025-02-03,2025-02-13,N
379,Ukrainian Canadian Care Centre - 2nd & 3rd Fl,60 Richview Rd,LTCH,Respiratory,Coronavirus*,,2025-02-03,2025-03-05,N
380,Yee Hong Centre Scarborough Finch - 6th Fl,60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2025-02-03,2025-02-20,N
381,The Village of Humber Heights - 2nd Fl Brule,2245 Lawrence Ave W,LTCH,Enteric,Unable to identify,,2025-02-02,2025-02-12,N
382,Cedarbrook Transitional Care Unit,520 Markham Rd,Retirement Home,Enteric,Unable to identify,,2025-02-02,2025-02-14,N
383,Weston Terrace Care Community - 3B,2005 Lawrence Ave W,LTCH,Respiratory,Respiratory syncytial virus,,2025-01-31,2025-02-10,N
384,Cedarhurst Dementia Care Home - 1st Fl,2601 Bayview Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-01-31,2025-02-10,N
385,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,,2025-01-31,2025-02-25,N
386,Extendicare Rouge Valley - 1st Fl (BSTU),551 Conlins Rd,LTCH,Respiratory,Coronavirus*,,2025-01-31,2025-02-13,N
387,Extendicare Rouge Valley - 3rd Fl Meadowvale,551 Conlins Rd,LTCH,Respiratory,Influenza A (H1),,2025-01-31,2025-02-12,N
388,Ukrainian Canadian Care Centre - 2nd Fl,60 Richview Road,LTCH,Respiratory,Respiratory syncytial virus,,2025-01-31,2025-02-03,N
389,Copernicus Lodge - 3S & 6S,66 Roncesvalles Ave,LTCH,Respiratory,Influenza A (H1N1),,2025-01-31,2025-02-15,N
390,Kennedy Lodge - 2 South & 3 South,1400 Kennedy Rd,LTCH,Respiratory,Coronavirus*,,2025-01-30,2025-02-18,N
391,Yee Hong Centre Scarborough McNicoll - 3rd Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,,2025-01-30,2025-02-14,N
392,Unity Health Toronto - Providence Healthcare - B5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2025-01-30,2025-02-15,N
393,Shepherd Terrace,3760 Sheppard Ave E,Retirement Home,Enteric,Unable to identify,,2025-01-30,2025-02-14,N
394,Copernicus Lodge - 6 South,66 Roncesvalles Ave,LTCH,Enteric,Norovirus,,2025-01-30,2025-02-10,N
395,Seven Oaks - 1st Fl,9 Neilson Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-30,2025-02-12,N
396,Villa Colombo Homes for the Aged - 2nd Fl,40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),Influenza A (H3),2025-01-29,2025-02-13,N
397,Centre for Addiction and Mental Health - Unit 1-2,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2025-01-29,2025-02-06,N
398,William Osler Health System - Etobicoke General Hospital - 9W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-29,2025-02-06,N
399,Cummer Lodge - 4N,205 Cummer Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-29,2025-02-07,N
400,The Annex - 2nd Fl,123 Spadina Rd,Retirement Home,Respiratory,Respiratory syncytial virus,,2025-01-28,2025-02-02,N
401,"Chester Village - 1W, 4W & 4E",3555 Danforth Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-28,2025-02-10,N
402,Yee Hong Centre - Scarborough Finch - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-28,2025-02-07,N
403,"Deerwood Creek Community - 1A, 2A & 2B",70 Humberline Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-28,2025-02-12,N
404,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-27,2025-02-08,N
405,Humber Meadows Long Term Care Home - 3N,2109 Finch Avenue W,LTCH,Respiratory,Coronavirus*,,2025-01-27,2025-02-05,N
406,Hellenic Home - Scarborough - Ground Fl,2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2025-01-27,2025-02-16,N
407,The Claremont,305 Balliol St,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-01-27,2025-02-07,N
408,Baycrest Hospital - 7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-01-27,2025-02-03,N
409,Baycrest Apotex Centre - Jewish Home for the Aged - 3EI,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-27,2025-02-12,N
410,Baycrest Hospital - 7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-27,2025-02-05,N
411,"Mon Sheong Home for the Aged - 2F, 4F & 5F",36 D'Arcy St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-27,2025-02-16,N
412,Presentation Manor,61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,,2025-01-27,2025-02-11,N
413,Chartwell Guildwood,65 Livingston Rd,Retirement Home,Enteric,Unable to identify,,2025-01-27,2025-02-10,N
414,Greenview Lodge - 3rd Fl,880 Lawrence Ave E,Retirement Home,Respiratory,COVID-19,,2025-01-27,2025-02-11,N
415,Weston Terrace Care Community - 4B,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2025-01-26,2025-02-05,N
416,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,COVID-19,,2025-01-26,2025-02-12,N
417,The Heritage Nursing Home - 4th Fl,1195 Queen St E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-24,2025-02-11,N
418,Trillium Health Partners - McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-24,2025-02-27,N
419,Wellesley Central Place - 4 West,160 Wellesley St E,LTCH,Respiratory,Influenza A (H1N1),,2025-01-24,2025-02-03,N
420,Don Mills Retirement Residence - 9th Fl,2 Green Belt Dr,Retirement Home,Respiratory,COVID-19,,2025-01-24,2025-01-30,N
421,Nisbet Lodge - 11th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,,2025-01-24,2025-02-03,N
422,TEHN - Michael Garron Hospital - J5,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,,2025-01-24,2025-01-31,N
423,Humber Valley Terrace - 2nd & 3rd Fl,95 Humber College Blvd,LTCH,Enteric,Norovirus,,2025-01-24,2025-02-08,N
424,One Kenton Place - 2nd Fl,1 Kenton Dr,Retirement Home,Respiratory,COVID-19,,2025-01-23,2025-02-06,N
425,Amica Bayview Gardens - 4th & 7th Fl,19 Rean Dr,Retirement Home,Respiratory,Metapneumovirus,,2025-01-23,2025-02-03,N
